"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-04-05T17:24:06.727-04:00","0.0","43.2"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-04-05T17:24:50.198-04:00","0.0","30.11"
